t,x,x_dot
17.1624183006536,44.0567361111111,-3.89722222222222
17.1724183006536,44.0177,-3.91
17.1824183006536,43.9785361111111,-3.92277777777778
17.1924183006536,43.9392444444444,-3.93555555555556
17.2024183006536,43.899825,-3.94833333333333
17.2124183006536,43.8602777777778,-3.96111111111111
17.2224183006536,43.8206027777778,-3.97388888888889
17.2324183006536,43.7808,-3.98666666666667
17.2424183006536,43.7408694444444,-3.99944444444444
17.2524183006536,43.7008111111111,-4.01222222222222
17.2624183006536,43.660625,-4.025
17.2724183006536,43.6203111111111,-4.03777777777778
17.2824183006536,43.5798694444444,-4.05055555555556
17.2924183006536,43.5393,-4.06333333333333
17.3024183006536,43.4986027777778,-4.07611111111111
17.3124183006536,43.4577777777778,-4.08888888888889
17.3224183006536,43.416825,-4.10166666666667
17.3324183006536,43.3757444444444,-4.11444444444444
17.3424183006536,43.3345361111111,-4.12722222222222
17.3524183006536,43.2932,-4.14
17.3624183006536,43.2517361111111,-4.15277777777778
17.3724183006536,43.2101444444444,-4.16555555555556
17.3824183006536,43.168425,-4.17833333333333
17.3924183006536,43.1265777777778,-4.19111111111111
17.4024183006536,43.0846027777778,-4.20388888888889
17.4124183006536,43.0425,-4.21666666666667
17.4224183006536,43.0002694444444,-4.22944444444444
17.4324183006536,42.9579111111111,-4.24222222222222
17.4424183006536,42.915425,-4.255
17.4524183006536,42.8728111111111,-4.26777777777778
17.4624183006536,42.8300694444444,-4.28055555555556
17.4724183006536,42.7872,-4.29333333333333
17.4824183006536,42.7442027777778,-4.30611111111111
17.4924183006536,42.7010777777778,-4.31888888888889
17.5024183006536,42.657825,-4.33166666666667
17.5124183006536,42.6144444444444,-4.34444444444444
17.5224183006536,42.5709361111111,-4.35722222222222
17.5324183006536,42.5273,-4.37
17.5424183006536,42.4835361111111,-4.38277777777778
17.5524183006536,42.4396444444444,-4.39555555555556
17.5624183006536,42.395625,-4.40833333333333
17.5724183006536,42.3514777777778,-4.42111111111111
17.5824183006536,42.3072027777778,-4.43388888888889
17.5924183006536,42.2628,-4.44666666666667
17.6024183006536,42.2182694444444,-4.45944444444444
17.6124183006536,42.1736111111111,-4.47222222222222
17.6224183006536,42.128825,-4.485
17.6324183006536,42.0839111111111,-4.49777777777778
17.6424183006536,42.0388694444444,-4.51055555555556
17.6524183006536,41.9937,-4.52333333333333
17.6624183006536,41.9484027777778,-4.53611111111111
17.6724183006536,41.9029777777778,-4.54888888888889
17.6824183006536,41.857425,-4.56166666666667
17.6924183006536,41.8117444444444,-4.57444444444444
17.7024183006536,41.7659361111111,-4.58722222222222
17.7124183006536,41.72,-4.6
17.7224183006536,41.6739361111111,-4.61277777777778
17.7324183006536,41.6277444444444,-4.62555555555556
17.7424183006536,41.581425,-4.63833333333333
17.7524183006536,41.5349777777778,-4.65111111111111
17.7624183006536,41.4884027777778,-4.66388888888889
17.7724183006536,41.4417,-4.67666666666667
